lang,section,Name,UUID,Styles,Description,StylesNote,Key,Value,Tags
ja,audio_query_param,,,,アクセント句（音素＋アクセント情報）の配列,,accent_phrases,アクセント句,
ja,audio_query_param,,,,全体の話速倍率,,speedScale,速度倍率,
ja,audio_query_param,,,,全体の音高倍率,,pitchScale,音高倍率,
ja,audio_query_param,,,,全体の抑揚倍率,,intonationScale,抑揚倍率,
ja,audio_query_param,,,,全体の音量倍率,,volumeScale,音量倍率,
ja,audio_query_param,,,,先頭無音の長さ（秒）,,prePhonemeLength,前音素長,
ja,audio_query_param,,,,末尾無音の長さ（秒）,,postPhonemeLength,後音素長,
ja,audio_query_param,,,,区切りの休止長（秒）,,pauseLength,休止長,
ja,audio_query_param,,,,休止の倍率,,pauseLengthScale,休止長倍率,
ja,audio_query_param,,,,出力サンプリングレート（Hz）,,outputSamplingRate,出力サンプリングレート,
ja,audio_query_param,,,,ステレオ出力の有無,,outputStereo,ステレオ出力,
ja,audio_query_param,,,,読み（かな）指定,,kana,かな（読み）,
ja,style,,,,標準的で自然,,ノーマル,ノーマル,general
ja,style,,,,甘くとろけるような口調,,あまあま,あまあま,"cute,affection"
ja,style,,,,そっけなく刺々しい,,ツンツン,ツンツン,tsundere
ja,style,,,,大人っぽく艶のある,,セクシー,セクシー,mature
ja,style,,,,耳元でささやくような小声,,ささやき,ささやき,"asmr,whisper"
ja,style,,,,こそこそ話すような声,,ヒソヒソ,ヒソヒソ,"asmr,whisper,secret"
ja,style,,,,力が抜けてへとへと,,ヘロヘロ,ヘロヘロ,lowenergy
ja,style,,,,涙ぐんだような声,,なみだめ,なみだめ,emotional
ja,style,,,,威厳のある女王様風,,クイーン,クイーン,regal
ja,style,,,,嬉しさがにじむ,,喜び,喜び,emotion
ja,style,,,,ツンとしてキレ気味,,ツンギレ,ツンギレ,"emotion,irritated"
ja,style,,,,落ち込んだ悲しい,,悲しみ,悲しみ,emotion
ja,style,,,,標準（ひらがな表記）,,ふつう,ふつう,general
ja,style,,,,わーい！なテンション,,わーい,わーい,"cheerful,energetic"
ja,style,,,,おびえてびくびく,,びくびく,びくびく,nervous
ja,style,,,,短気でおこ,,おこ,おこ,emotion
ja,style,,,,子どもっぽく泣き声,,びえーん,びえーん,emotion
ja,style,,,,勢いがあり熱い,,熱血,熱血,energetic
ja,style,,,,不機嫌でとげとげしい,,不機嫌,不機嫌,emotion
ja,style,,,,しっとり落ち着いた,,しっとり,しっとり,calm
ja,style,,,,かなしみ（ひらがな表記）,,かなしみ,かなしみ,emotion
ja,style,,,,囁き（漢字表記）,,囁き,囁き,"asmr,whisper"
ja,style,,,,セクシー寄り（キャラ固有）,,セクシー／あん子,セクシー／あん子,mature
ja,style,,,,泣いているような,,泣き,泣き,emotion
ja,style,,,,怒りの感情が強い,,怒り,怒り,emotion
ja,style,,,,ゆったりマイペース,,のんびり,のんびり,calm
ja,style,,,,楽しくはずむ,,たのしい,たのしい,cheerful
ja,style,,,,泣きそうな悲しさ,,かなしい,かなしい,emotion
ja,style,,,,人間版,,人間ver.,人間ver.,variant
ja,style,,,,ぬいぐるみ版,,ぬいぐるみver.,ぬいぐるみver.,variant
ja,style,,,,人間（怒り）版,,人間（怒り）ver.,人間（怒り）ver.,variant
ja,style,,,,鬼版,,鬼ver.,鬼ver.,variant
ja,style,,,,アナウンサー風に明瞭,,アナウンス,アナウンス,narration
ja,style,,,,語りかける読み聞かせ,,読み聞かせ,読み聞かせ,"narration,story"
ja,style,,,,別のフォーム/雰囲気,,第二形態,第二形態,variant
ja,style,,,,幼い少女っぽい,,ロリ,ロリ,"cute,childlike"
ja,style,,,,気負わず楽々,,楽々,楽々,calm
ja,style,,,,怖がっている,,恐怖,恐怖,emotion
ja,style,,,,内緒で話すような声,,内緒話,内緒話,"asmr,secret"
ja,style,,,,落ち着いたトーン,,おちつき,おちつき,calm
ja,style,,,,うきうき弾む,,うきうき,うきうき,cheerful
ja,style,,,,人見知りで控えめ,,人見知り,人見知り,nervous
ja,style,,,,びっくりした,,おどろき,おどろき,emotion
ja,style,,,,怖がりでおどおど,,こわがり,こわがり,nervous
ja,style,,,,へろへろ（ひらがな表記）,,へろへろ,へろへろ,lowenergy
ja,style,,,,元気いっぱい,,元気,元気,energetic
ja,style,,,,あざとく可愛い,,ぶりっ子,ぶりっ子,cute
ja,style,,,,ボーイッシュ,,ボーイ,ボーイ,variant
ja,style,,,,低血圧っぽくぼんやり,,低血圧,低血圧,lowenergy
ja,style,,,,覚醒して鋭い,,覚醒,覚醒,intense
ja,style,,,,実況っぽいテンション,,実況風,実況風,commentary
ja,style,,,,おどおど不安,,おどおど,おどおど,nervous
ja,style,,,,絶望し打ちひしがれる,,絶望と敗北,絶望と敗北,emotion
ja,character,四国めたん,7ffcb7ce-00ec-4bdc-82cd-45a8889e43ff,"ノーマル, あまあま, ツンツン, セクシー, ささやき, ヒソヒソ",はっきりした芯のある声,"ノーマル: 標準的で自然 [general] ; あまあま: 甘くとろけるような口調 [cute,affection] ; ツンツン: そっけなく刺々しい [tsundere] ; セクシー: 大人っぽく艶のある [mature] ; ささやき: 耳元でささやくような小声 [asmr,whisper] ; ヒソヒソ: こそこそ話すような声 [asmr,whisper,secret]",,,
ja,character,ずんだもん,388f246b-8c41-4ac1-8e2d-5d79f3ff56d9,"ノーマル, あまあま, ツンツン, セクシー, ささやき, ヒソヒソ, ヘロヘロ, なみだめ",子供っぽい高めの声,"ノーマル: 標準的で自然 [general] ; あまあま: 甘くとろけるような口調 [cute,affection] ; ツンツン: そっけなく刺々しい [tsundere] ; セクシー: 大人っぽく艶のある [mature] ; ささやき: 耳元でささやくような小声 [asmr,whisper] ; ヒソヒソ: こそこそ話すような声 [asmr,whisper,secret] ; ヘロヘロ: 力が抜けてへとへと [lowenergy] ; なみだめ: 涙ぐんだような声 [emotional]",,,
ja,character,春日部つむぎ,35b2c544-660e-401e-b503-0e14c635303a,ノーマル,元気な明るい声,ノーマル: 標準的で自然 [general],,,
ja,character,雨晴はう,3474ee95-c274-47f9-aa1a-8322163d96f1,ノーマル,優しく可愛い声,ノーマル: 標準的で自然 [general],,,
ja,character,波音リツ,b1a81618-b27b-40d2-b0ea-27a9ad408c4b,"ノーマル, クイーン",低めのクールな声,ノーマル: 標準的で自然 [general] ; クイーン: 威厳のある女王様風 [regal],,,
ja,character,玄野武宏,c30dc15a-0992-4f8d-8bb8-ad3b314e6a6f,"ノーマル, 喜び, ツンギレ, 悲しみ",爽やかな青年の声,"ノーマル: 標準的で自然 [general] ; 喜び: 嬉しさがにじむ [emotion] ; ツンギレ: ツンとしてキレ気味 [emotion,irritated] ; 悲しみ: 落ち込んだ悲しい [emotion]",,,
ja,character,白上虎太郎,e5020595-5c5d-4e87-b849-270a518d0dcf,"ふつう, わーい, びくびく, おこ, びえーん",声変わり直後の少年の声,"ふつう: 標準（ひらがな表記） [general] ; わーい: わーい！なテンション [cheerful,energetic] ; びくびく: おびえてびくびく [nervous] ; おこ: 短気でおこ [emotion] ; びえーん: 子どもっぽく泣き声 [emotion]",,,
